input,instruction,output
"ta'ítam upthívruuhvarak.víri vúra uum táay pa'ahuptunvêechas u'áthanvaraktih.xás pihnêefich uxús "" chími ahupyâamach kanpárihish.vaa uum hôoy vúrava kanéeptaatripaavish.""",translate from karuk to english,"So he floated back down from upstream. There were a lot of little sticks floating down from upriver. And Coyote thought, ""Let me become a pretty stick! That way they will hook me out somewhere."
"So he floated back down from upstream. There were a lot of little sticks floating down from upriver. And Coyote thought, ""Let me become a pretty stick! That way they will hook me out somewhere.",translate from english to karuk,"ta'ítam upthívruuhvarak.víri vúra uum táay pa'ahuptunvêechas u'áthanvaraktih.xás pihnêefich uxús "" chími ahupyâamach kanpárihish.vaa uum hôoy vúrava kanéeptaatripaavish."""
"yíiv tuthívruuhma.chími axmáy yúruk utrûuputih.víri vaa kunkupítih, pa'asiktávaansa kunxúti "" kíri nutururípan pa'áhup.""xás pihnêefich tutápkuup pa'asiktávaansa.chavúra kaanvári uthívruuhma.víri uvuunôovutih.víriva káan ta'ítam pihnêefich káan uthívruuhma."" ooo!"" pa'asiktávaansa kunpiip, "" ooo! yáxa páykuuk kóo ahupyâamach uthivrúhuthunatih.chími nútaatripaa.""víriva kuntafiripfíriptih.káruma uum pihnêefich uxúti "" xáy kanátaatripaa.""kári xás uxús "" chími kanipthívruuhsun.""ta'ítam upthívruuhrup.",translate from karuk to english,"He floated a long ways. Suddenly he looked downriver. They were doing that, the women were trying to hook out the sticks. And Coyote took a liking to the women. Finally he floated to that vicinity. There was an eddy. So then Coyote floated to there. ""Oh,"" the women said, ""oh, look there, such a pretty stick is floating around. Let's hook it out!"" But they kept missing it. Coyote was thinking, ""Let them not hook me out."" And he thought, ""Let me float away!"" So he floated downriver again."
"He floated a long ways. Suddenly he looked downriver. They were doing that, the women were trying to hook out the sticks. And Coyote took a liking to the women. Finally he floated to that vicinity. There was an eddy. So then Coyote floated to there. ""Oh,"" the women said, ""oh, look there, such a pretty stick is floating around. Let's hook it out!"" But they kept missing it. Coyote was thinking, ""Let them not hook me out."" And he thought, ""Let me float away!"" So he floated downriver again.",translate from english to karuk,"yíiv tuthívruuhma.chími axmáy yúruk utrûuputih.víri vaa kunkupítih, pa'asiktávaansa kunxúti "" kíri nutururípan pa'áhup.""xás pihnêefich tutápkuup pa'asiktávaansa.chavúra kaanvári uthívruuhma.víri uvuunôovutih.víriva káan ta'ítam pihnêefich káan uthívruuhma."" ooo!"" pa'asiktávaansa kunpiip, "" ooo! yáxa páykuuk kóo ahupyâamach uthivrúhuthunatih.chími nútaatripaa.""víriva kuntafiripfíriptih.káruma uum pihnêefich uxúti "" xáy kanátaatripaa.""kári xás uxús "" chími kanipthívruuhsun.""ta'ítam upthívruuhrup."
"chavúra kúkuum vaa káan umáh asiktávaansa astiip, áhup kunikyáavanaatih.xás yítha upíip "" ooo! yáxa kóo ahupyâamach tuthívruuhvarak.""xás yíth upíip "" atafâat naa pihnêefich.mít kunípaat ' kahyúras tuvâaram.'ípararahum, atafâat naa vaa.""púyava ník kunímuustih.káan vúra tuthivrúhuthun."" xáyfaat núhmaachichva.""xás úuth kunpíkfuutkar.",translate from karuk to english,"Finally he saw women there on the bank again, they were gathering wood. And one said, ""Oh, look, such a pretty stick has floated down from upstream!"" And another said, ""Maybe it's Coyote. They said he had left for Klamath Lakes. He's not reliable, maybe that's him."" So they looked at it. It floated around there. ""Let's not fool with it."" So they pushed it back out into the river."
"Finally he saw women there on the bank again, they were gathering wood. And one said, ""Oh, look, such a pretty stick has floated down from upstream!"" And another said, ""Maybe it's Coyote. They said he had left for Klamath Lakes. He's not reliable, maybe that's him."" So they looked at it. It floated around there. ""Let's not fool with it."" So they pushed it back out into the river.",translate from english to karuk,"chavúra kúkuum vaa káan umáh asiktávaansa astiip, áhup kunikyáavanaatih.xás yítha upíip "" ooo! yáxa kóo ahupyâamach tuthívruuhvarak.""xás yíth upíip "" atafâat naa pihnêefich.mít kunípaat ' kahyúras tuvâaram.'ípararahum, atafâat naa vaa.""púyava ník kunímuustih.káan vúra tuthivrúhuthun."" xáyfaat núhmaachichva.""xás úuth kunpíkfuutkar."
""" eee!"" xás uxúti pihnêefich "" yáas naa nixúti ' tá nishíinvar.'""kôokaninay vúra pakunmáahti úuth kunpíkfuutkaanva.chavúra yûum kumayúrasak uthívruuhramnih.káan xás uthivrúhish.xás vúra tóo sir pihnêefich.",translate from karuk to english,"""Ah,"" Coyote thought then, ""now I think I've drowned."" Everywhere they saw him, they pushed him back out into the river. Finally he floated into the ocean downriver. He floated to shore there. Coyote was just lost."
"""Ah,"" Coyote thought then, ""now I think I've drowned."" Everywhere they saw him, they pushed him back out into the river. Finally he floated into the ocean downriver. He floated to shore there. Coyote was just lost.",translate from english to karuk,""" eee!"" xás uxúti pihnêefich "" yáas naa nixúti ' tá nishíinvar.'""kôokaninay vúra pakunmáahti úuth kunpíkfuutkaanva.chavúra yûum kumayúrasak uthívruuhramnih.káan xás uthivrúhish.xás vúra tóo sir pihnêefich."
"káan vúra uvúrayvikeethun.yánava káan ikmaháchraam u'íikra.xás utvâamnath.yánava púra karáxay vúra.xás uvôoruvrath pihnêefich.xás sú' póo'uum, pootvárayva, pamukun'ikrívkir koovúra athkuritmúrax vúra.pamukunpatúmkir káru vúra athkúrit.káru pamukunpiykiríkir vaa káru vúra athkúrit.xás vúra tóo xúriha pihnêefich.uxúti "" tîi kanpakatkâati papatúmkir.""xás poopakátkat amayaa'íshara.chavúra koovúra utháfip, pamukunpiykiríkir vaa káru vúra utháfip.",translate from karuk to english,"He walked around there. He saw a sweathouse standing there. So he looked inside. He saw nobody. So Coyote crawled in. And when he got inside and looked around, (the people's) seats were all of nothing but fat. Their pillows were fat too. And their ladder was fat too. And Coyote was hungry. And he thought, ""Let me taste the pillows!"" And when he tasted them, they were very good-tasting. Finally he ate them all up, he ate their ladder up too."
"He walked around there. He saw a sweathouse standing there. So he looked inside. He saw nobody. So Coyote crawled in. And when he got inside and looked around, (the people's) seats were all of nothing but fat. Their pillows were fat too. And their ladder was fat too. And Coyote was hungry. And he thought, ""Let me taste the pillows!"" And when he tasted them, they were very good-tasting. Finally he ate them all up, he ate their ladder up too.",translate from english to karuk,"káan vúra uvúrayvikeethun.yánava káan ikmaháchraam u'íikra.xás utvâamnath.yánava púra karáxay vúra.xás uvôoruvrath pihnêefich.xás sú' póo'uum, pootvárayva, pamukun'ikrívkir koovúra athkuritmúrax vúra.pamukunpatúmkir káru vúra athkúrit.káru pamukunpiykiríkir vaa káru vúra athkúrit.xás vúra tóo xúriha pihnêefich.uxúti "" tîi kanpakatkâati papatúmkir.""xás poopakátkat amayaa'íshara.chavúra koovúra utháfip, pamukunpiykiríkir vaa káru vúra utháfip."
"xás axmáy fâat kúnish uthítiv.xás uxús "" chími kaníchunvi.""xás vaa káan ahup'iyvoorámaam káan u'áasish.xás ikxúrar pakunpavyíhivrath.ith'áraan ník kúna tóo pvôoruvrath, kunithyivúniihvutih.kári xás kunpíip "" naa nixúti ' pihnêefich ôokninay uvúrayvutih.'vaa pávaa tá kupavêenahan, koovúra tutháfip panunupatúmkir.""",translate from karuk to english,"And suddenly he sort of heard something. And he thought, ""Let me hide!"" And he lay down there behind the woodpile. And in the evening (the people) came back in the sweathouse"" (As) each person crawled in, they fell down. And they said, ""I think Coyote is wandering around here. That's who did that, he ate up all our pillows."""
"And suddenly he sort of heard something. And he thought, ""Let me hide!"" And he lay down there behind the woodpile. And in the evening (the people) came back in the sweathouse"" (As) each person crawled in, they fell down. And they said, ""I think Coyote is wandering around here. That's who did that, he ate up all our pillows.""",translate from english to karuk,"xás axmáy fâat kúnish uthítiv.xás uxús "" chími kaníchunvi.""xás vaa káan ahup'iyvoorámaam káan u'áasish.xás ikxúrar pakunpavyíhivrath.ith'áraan ník kúna tóo pvôoruvrath, kunithyivúniihvutih.kári xás kunpíip "" naa nixúti ' pihnêefich ôokninay uvúrayvutih.'vaa pávaa tá kupavêenahan, koovúra tutháfip panunupatúmkir."""
"vúra vaa utháaniv, uthítiimti pakunchuphúruthunatih.kári xás kunpíip "" chími nupákmuuvanvi uknamxánahich.""",translate from karuk to english,"(Coyote) lay like that, he heard them talking about him. And they said, ""Let's spend the night away from home, at uknamxánahich."""
"(Coyote) lay like that, he heard them talking about him. And they said, ""Let's spend the night away from home, at uknamxánahich.""",translate from english to karuk,"vúra vaa utháaniv, uthítiimti pakunchuphúruthunatih.kári xás kunpíip "" chími nupákmuuvanvi uknamxánahich."""
"kári xás uxúti pihnêefich "" nanithívthaaneen tá kunchuphúruthun.""xás u'árihrishuk."" ishávaas, nanishavásiivsha, nipthivkéevish.""",translate from karuk to english,"And Coyote thought, ""They're talking about my country."" And he jumped out. ""Nephew, my nephew, I'll go along."""
"And Coyote thought, ""They're talking about my country."" And he jumped out. ""Nephew, my nephew, I'll go along.""",translate from english to karuk,"kári xás uxúti pihnêefich "" nanithívthaaneen tá kunchuphúruthun.""xás u'árihrishuk."" ishávaas, nanishavásiivsha, nipthivkéevish."""
"xás kunpíip "" chémi.kúna vúra xáyfaat iyúupha.""",translate from karuk to english,"And they said, ""All right. But don't open your eyes."""
"And they said, ""All right. But don't open your eyes.""",translate from english to karuk,"xás kunpíip "" chémi.kúna vúra xáyfaat iyúupha."""
""" chémi, vaa ník nikupheesh.vúra punáyuupheeshara.""",translate from karuk to english,"""All right, I'll do that. I won't open my eyes."""
"""All right, I'll do that. I won't open my eyes.""",translate from english to karuk,""" chémi, vaa ník nikupheesh.vúra punáyuupheeshara."""
"xás kunipêer "" chími páahak váramnih.súva ník asámyiith uxákeesh, ixusêesh ' tá nupávyiihma.'púyava ík kári xasík iyúupheesh.kúna peeyuuphâak pukinpávyiihmeeshara.vaa vúra ôok nupthivrúhukeesh.""",translate from karuk to english,"And they told him, ""Get in the boat. You will hear gravel sound, you will know we have arrived. Then you can open your eyes. But if you open your eyes (before), we won't get there. We'll float back to here."""
"And they told him, ""Get in the boat. You will hear gravel sound, you will know we have arrived. Then you can open your eyes. But if you open your eyes (before), we won't get there. We'll float back to here.""",translate from english to karuk,"xás kunipêer "" chími páahak váramnih.súva ník asámyiith uxákeesh, ixusêesh ' tá nupávyiihma.'púyava ík kári xasík iyúupheesh.kúna peeyuuphâak pukinpávyiihmeeshara.vaa vúra ôok nupthivrúhukeesh."""
""" chémi, vaa ník nikupheesh.""kári xás ta'ítam kunípviitshuraheen.pihnêefich "" páahak"" kunipêer "" sú' ithxuuprámnihi.""ta'ítam pihnêefich úthxuupramnih.ta'ítam kunípviitshuraheen.",translate from karuk to english,"""All right, I'll do that."" And so they paddled off. They told Coyote, ""Lie face down in the boat."" So Coyote lay face down in it. So they paddled off."
"""All right, I'll do that."" And so they paddled off. They told Coyote, ""Lie face down in the boat."" So Coyote lay face down in it. So they paddled off.",translate from english to karuk,""" chémi, vaa ník nikupheesh.""kári xás ta'ítam kunípviitshuraheen.pihnêefich "" páahak"" kunipêer "" sú' ithxuuprámnihi.""ta'ítam pihnêefich úthxuupramnih.ta'ítam kunípviitshuraheen."
"chavúra tu'ûuri pihnêefich póothxuupramnih.xás uxús pihnêefich "" tîi kanitníshuk.""víri pootníshuk víri uumyâach kunipthivrúhish úuth yúrastiim.",translate from karuk to english,"Finally Coyote got tired of lying face down. And Coyote thought, ""Let me look out!"" When he barely looked out, they floated ashore out at the ocean, at the seashore."
"Finally Coyote got tired of lying face down. And Coyote thought, ""Let me look out!"" When he barely looked out, they floated ashore out at the ocean, at the seashore.",translate from english to karuk,"chavúra tu'ûuri pihnêefich póothxuupramnih.xás uxús pihnêefich "" tîi kanitníshuk.""víri pootníshuk víri uumyâach kunipthivrúhish úuth yúrastiim."
"xás kunípeenti pihnêefich "" payêem pukinípkookanpeeshara.""",translate from karuk to english,"Then they told Coyote, ""Now you won't go with us again."""
"Then they told Coyote, ""Now you won't go with us again.""",translate from english to karuk,"xás kunípeenti pihnêefich "" payêem pukinípkookanpeeshara."""
"xás pihnêefich upíip "" payêem ník vúra ishávaas vaa puneepkuphêeshara.""",translate from karuk to english,"And Coyote said, ""I won't do it again this time, nephew."""
"And Coyote said, ""I won't do it again this time, nephew.""",translate from english to karuk,"xás pihnêefich upíip "" payêem ník vúra ishávaas vaa puneepkuphêeshara."""
""" chémi, chôora.""ta'ítam kunpávyiihshipreeheen.ta'ítam kúkuum u'asimchákaheen.chavúra xára tah, axmáy asámyiith úxak.kári xás kunipêer pihnêefich "" chími váripi páahak.""",translate from karuk to english,"""All right, let's go."" So they left. Then (Coyote) closed his eyes again. Finally it was a long time, (when) suddenly gravel sounded. And they told Coyote, ""Get out of the boat!"""
"""All right, let's go."" So they left. Then (Coyote) closed his eyes again. Finally it was a long time, (when) suddenly gravel sounded. And they told Coyote, ""Get out of the boat!""",translate from english to karuk,""" chémi, chôora.""ta'ítam kunpávyiihshipreeheen.ta'ítam kúkuum u'asimchákaheen.chavúra xára tah, axmáy asámyiith úxak.kári xás kunipêer pihnêefich "" chími váripi páahak."""
"poovárip yánava "" nanithívthaaneen tá ni'ípak.""ta'ítam utakníhithunaheen.yôotva, nanishívshaaneen tá ni'ípak.""",translate from karuk to english,"When he got out, he saw, (he said), ""I've come back to my country!"" Then he rolled around. ""Hurray, I've come back to my country!"""
"When he got out, he saw, (he said), ""I've come back to my country!"" Then he rolled around. ""Hurray, I've come back to my country!""",translate from english to karuk,"poovárip yánava "" nanithívthaaneen tá ni'ípak.""ta'ítam utakníhithunaheen.yôotva, nanishívshaaneen tá ni'ípak."""
"púya vaa ukúphaanik pihnêefich.káruk ishpúk ukyâaranik.víri vaa ukúphaanik pihnêefich.púra fâat vúra yávhanik.chiimuuch'îin kunxúseeranik "" kíri vaa ukúupha, pufáat vúra yávheeshara.""",translate from karuk to english,"So that's what Coyote did. He went upriver to get money. That's what Coyote did. Nothing was any good. Lizard thought about him, ""Let him do that, nothing will be any good."""
"So that's what Coyote did. He went upriver to get money. That's what Coyote did. Nothing was any good. Lizard thought about him, ""Let him do that, nothing will be any good.""",translate from english to karuk,"púya vaa ukúphaanik pihnêefich.káruk ishpúk ukyâaranik.víri vaa ukúphaanik pihnêefich.púra fâat vúra yávhanik.chiimuuch'îin kunxúseeranik "" kíri vaa ukúupha, pufáat vúra yávheeshara."""
"pihnêefich uum ishpukéekyav tóo thvoonha.xás upíip "" kahyúras tá nivâaram, ishpúk tá nikyáar.""xás u'árihroov, upakurîihvutih."" kahyúras nivâarameesh, ishpúk nikyâareesh.""xás vúra yíiv káruk tu'árihroov.",translate from karuk to english,"Coyote wanted to make money. And he said, ""I'm leaving for Klamath Lakes, I'm going to make money."" And he went upriver, he was singing. ""I'll leave for Klamath Lakes, I'll go make money."" And he went a long ways upriver."
"Coyote wanted to make money. And he said, ""I'm leaving for Klamath Lakes, I'm going to make money."" And he went upriver, he was singing. ""I'll leave for Klamath Lakes, I'll go make money."" And he went a long ways upriver.",translate from english to karuk,"pihnêefich uum ishpukéekyav tóo thvoonha.xás upíip "" kahyúras tá nivâaram, ishpúk tá nikyáar.""xás u'árihroov, upakurîihvutih."" kahyúras nivâarameesh, ishpúk nikyâareesh.""xás vúra yíiv káruk tu'árihroov."
"xás kâam útroovutih.káan ípaha u'íihya.yánava itráhyar akváat kun'irukûuntakoo.xás upíip "" yéehe yôotva.poorápiit nikyâavish káru vúra nanivoonvánaach káru akvákir káru vúra naniyukúkuh.""xás upixivshúroo pamúsaanva.xás u'ixaxáxax vúra tûupichas.xás sáruk uxyáfakoo.xás íishkar upihyárihish.xás kári ta'ítam "" chími kankúniihki,"" hínupa páy tóo kfíripriv.xás paakváat sáruk uskákunih.xás kúkuum vúra yíth ukúniihka.kúkuum vúra uum uskákunih.xás koovúra too kfíriprin.xás vúra kâarim tóo pmahóonkoon.xás sâam ukfúkunih.xás upífik koovúra pamusanveeshxaxáxax.xás ta'ítam upiptákithvaheen.xás íp táay áan usáanvutihat, káruma vaa íp uvúpareeshat pamúspuk.xás upasasîip.xás u'árihroov.",translate from karuk to english,"And he looked upriver. A tree stood there. He saw ten raccoons sitting. And he said, ""Well, hurray! I'll make new pants and my shirt and a quiver and my shoes."" And he ripped off his clothes. And he tore them into little pieces. And he threw them downhill. And he stood naked. And then (he said), ""Let me shoot (one),"" but he missed. And the raccoon jumped downhlll. And he shot at another one. It too jumped down. And he missed them all. Then he felt bad. And he crept downhill. And he picked up his torn-up clothes. And then he mended them. He was carrying a lot of thread, that's what he was going to string his money with. And he put his clothes on. And he traveled upriver."
"And he looked upriver. A tree stood there. He saw ten raccoons sitting. And he said, ""Well, hurray! I'll make new pants and my shirt and a quiver and my shoes."" And he ripped off his clothes. And he tore them into little pieces. And he threw them downhill. And he stood naked. And then (he said), ""Let me shoot (one),"" but he missed. And the raccoon jumped downhlll. And he shot at another one. It too jumped down. And he missed them all. Then he felt bad. And he crept downhill. And he picked up his torn-up clothes. And then he mended them. He was carrying a lot of thread, that's what he was going to string his money with. And he put his clothes on. And he traveled upriver.",translate from english to karuk,"xás kâam útroovutih.káan ípaha u'íihya.yánava itráhyar akváat kun'irukûuntakoo.xás upíip "" yéehe yôotva.poorápiit nikyâavish káru vúra nanivoonvánaach káru akvákir káru vúra naniyukúkuh.""xás upixivshúroo pamúsaanva.xás u'ixaxáxax vúra tûupichas.xás sáruk uxyáfakoo.xás íishkar upihyárihish.xás kári ta'ítam "" chími kankúniihki,"" hínupa páy tóo kfíripriv.xás paakváat sáruk uskákunih.xás kúkuum vúra yíth ukúniihka.kúkuum vúra uum uskákunih.xás koovúra too kfíriprin.xás vúra kâarim tóo pmahóonkoon.xás sâam ukfúkunih.xás upífik koovúra pamusanveeshxaxáxax.xás ta'ítam upiptákithvaheen.xás íp táay áan usáanvutihat, káruma vaa íp uvúpareeshat pamúspuk.xás upasasîip.xás u'árihroov."
"xás vúra tóo xúriha.xás yánava káan uxráa tóo mtup.xás u'áamva.yánava káan u'íinvahitih.yánava vúra táay páxaath tóo mtupíshriihva, xás vúra amáyav kunish.xás ta'ítam u'aamváheen.xás vúra taay u'av.xás vúra hûutva tu'iin, púxay ta'ítam yâavahitihara.xás ífuthkam kúuk upitvûutih.yánava páxaath vaa vúra ukupa'íshipithunahiti pookupavúrayvahitiheen.xás ta'ítam uturáayvaheen.xás yánava káan axvaha'ípaha u'íihya.yánava axvahátaay.xás "" chími kanipshivshápvaani.""xás kúkuum u'ípav.xás vúra chéemyaach uyâavaha.",translate from karuk to english,"And he got hungry. And he saw berries ripe there. And he ate them. He saw there was a forest fire there. He saw lots of grasshoppers cooked, and they were sort of good-tasting. And so he ate them. And he ate a whole lot. But what was the matter with him? he wasn't getting full. And he looked behind him. He saw the grasshoppers strung around where he had been wandering. So then he looked around. And he saw a pitch tree standing there. He saw there was a lot of pitch. So (he said), ""Let me plug myself up."" Then he ate again. And he quickly got full."
"And he got hungry. And he saw berries ripe there. And he ate them. He saw there was a forest fire there. He saw lots of grasshoppers cooked, and they were sort of good-tasting. And so he ate them. And he ate a whole lot. But what was the matter with him? he wasn't getting full. And he looked behind him. He saw the grasshoppers strung around where he had been wandering. So then he looked around. And he saw a pitch tree standing there. He saw there was a lot of pitch. So (he said), ""Let me plug myself up."" Then he ate again. And he quickly got full.",translate from english to karuk,"xás vúra tóo xúriha.xás yánava káan uxráa tóo mtup.xás u'áamva.yánava káan u'íinvahitih.yánava vúra táay páxaath tóo mtupíshriihva, xás vúra amáyav kunish.xás ta'ítam u'aamváheen.xás vúra taay u'av.xás vúra hûutva tu'iin, púxay ta'ítam yâavahitihara.xás ífuthkam kúuk upitvûutih.yánava páxaath vaa vúra ukupa'íshipithunahiti pookupavúrayvahitiheen.xás ta'ítam uturáayvaheen.xás yánava káan axvaha'ípaha u'íihya.yánava axvahátaay.xás "" chími kanipshivshápvaani.""xás kúkuum u'ípav.xás vúra chéemyaach uyâavaha."
"xás axmáy vúra uthítiv ishnur.xás upíip "" hôoy vúra kumeethívthaaneen usnúrutih.""xás axmáy vúra "" anoo! anoo! tá néemchak.""xás upitvâavraa.yánava "" tá ná'iinka.""xás âapun ukyívish, xás ukrivrúhuthun.xás úmsip pá'aah.",translate from karuk to english,"And suddenly he heard thundering. And he said, ""It's thundering somewhere in the country."" And suddenly (he said), ""Ouch! ouch! I'm burnt!"" He looked back over (his shoulder). He saw, (he said), ""I'm burning!"" And he fell to the ground, and he rolled about. Then the fire went out."
"And suddenly he heard thundering. And he said, ""It's thundering somewhere in the country."" And suddenly (he said), ""Ouch! ouch! I'm burnt!"" He looked back over (his shoulder). He saw, (he said), ""I'm burning!"" And he fell to the ground, and he rolled about. Then the fire went out.",translate from english to karuk,"xás axmáy vúra uthítiv ishnur.xás upíip "" hôoy vúra kumeethívthaaneen usnúrutih.""xás axmáy vúra "" anoo! anoo! tá néemchak.""xás upitvâavraa.yánava "" tá ná'iinka.""xás âapun ukyívish, xás ukrivrúhuthun.xás úmsip pá'aah."
"xás kári upvâaram, xás vúra u'ípahoo.xás vúra xára u'áhoo.xás vúra íshaha tóo xra puxich.xás pamúprii vúra puxích tuváxrah.xás yánava káan ikmaháchraam u'íikra.xás yanava káan ára upíkniihvutih, upakurîihvutih.káruma vúra tuthapáxrah.xás yánava káan axak'ásip axrát'aas utháthriin.xás upíip "" yôotva, nâachish mu'íshaha chí ni'ísheesh.chími chîimich vúra kanpakatkâatih.""xás kúkuum vúra "" xâatik vúra kumatêeshich kan'îishi.""xás áxak vúra pa'ásip u'íshfip.xás upíip "" náachish, xáyfaat ík vúra neexviphûunish.""xás kári u'árihroov.",translate from karuk to english,"So then he went off again, and he traveled again. And he traveled a long time. And he got very thirsty. His tongue was very dry. And he saw a sweathouse standing there. And he saw a person was sweating himself there, he was singing. (Coyote) was terribly thirsty. And he saw two baskets of berry juice sitting there. And he said, ""Hurray, I'll drink nephew's juice! Let me just taste a little."" And again (he said), ""Let me drink a little more."" And he drank up both bowls. Then he said, ""Nephew, you mustn't get angry at me!"" And he traveled upriver."
"So then he went off again, and he traveled again. And he traveled a long time. And he got very thirsty. His tongue was very dry. And he saw a sweathouse standing there. And he saw a person was sweating himself there, he was singing. (Coyote) was terribly thirsty. And he saw two baskets of berry juice sitting there. And he said, ""Hurray, I'll drink nephew's juice! Let me just taste a little."" And again (he said), ""Let me drink a little more."" And he drank up both bowls. Then he said, ""Nephew, you mustn't get angry at me!"" And he traveled upriver.",translate from english to karuk,"xás kári upvâaram, xás vúra u'ípahoo.xás vúra xára u'áhoo.xás vúra íshaha tóo xra puxich.xás pamúprii vúra puxích tuváxrah.xás yánava káan ikmaháchraam u'íikra.xás yanava káan ára upíkniihvutih, upakurîihvutih.káruma vúra tuthapáxrah.xás yánava káan axak'ásip axrát'aas utháthriin.xás upíip "" yôotva, nâachish mu'íshaha chí ni'ísheesh.chími chîimich vúra kanpakatkâatih.""xás kúkuum vúra "" xâatik vúra kumatêeshich kan'îishi.""xás áxak vúra pa'ásip u'íshfip.xás upíip "" náachish, xáyfaat ík vúra neexviphûunish.""xás kári u'árihroov."
"xás pamúnaath u'árihrupuk.xás uxús "" chí kan'îishi.""xás yánava pa'ásip áruun kuniphíriv.xás upíip "" yáxa áta uum papihneefich'îin tá nasítviik.kínikini vúra uum uvaxrahchákeesh.xáyfaat ík vúra íshaha umah.koovúra ík pa'íshaha uváxraahvunaavish.""",translate from karuk to english,"Then his ""nephew"" came outdoors. And he thought, ""Let me drink!"" And he saw the baskets lying empty. And he said, ""Look, I'll bet Coyote stole it from me. Let him die of thirst! He mustn't find any water. All the water must dry up."""
"Then his ""nephew"" came outdoors. And he thought, ""Let me drink!"" And he saw the baskets lying empty. And he said, ""Look, I'll bet Coyote stole it from me. Let him die of thirst! He mustn't find any water. All the water must dry up.""",translate from english to karuk,"xás pamúnaath u'árihrupuk.xás uxús "" chí kan'îishi.""xás yánava pa'ásip áruun kuniphíriv.xás upíip "" yáxa áta uum papihneefich'îin tá nasítviik.kínikini vúra uum uvaxrahchákeesh.xáyfaat ík vúra íshaha umah.koovúra ík pa'íshaha uváxraahvunaavish."""
"xás pihnêefich u'árihroov.xás íshaha tóo xrah.xás vaa vúra u'áhootih.xás vúra puxích tóo xrah, xás "" chími íshaha kan'îishi.""xás ta'ítam upátumkuriheen.xás ámtaap kích úkpuupvar apmaan.xás yánava pa'íshaha sáruk tuvúunfak.xás u'áharam.xás ník tóo kfuukiraa.xás ivaxraháriik tóo skákish.xás pa'íshaha tuvúunfak.xás upíip "" vúra xâatik.miník ni'ísheesh kâam.""",translate from karuk to english,"And Coyote traveled upriver. And he got thirsty. But he just kept traveling. Then he got very thirsty, and (he thought) ""Let me drink water!"" So he put his mouth down to the water. And just dust puffed into his mouth. And he saw the water flowing away downhill. So he chased it. And he grabbed at it. But he landed on dry ground. And the water flowed away downhill. And he said, ""Let it go. I'll drink upriver a ways."""
"And Coyote traveled upriver. And he got thirsty. But he just kept traveling. Then he got very thirsty, and (he thought) ""Let me drink water!"" So he put his mouth down to the water. And just dust puffed into his mouth. And he saw the water flowing away downhill. So he chased it. And he grabbed at it. But he landed on dry ground. And the water flowed away downhill. And he said, ""Let it go. I'll drink upriver a ways.""",translate from english to karuk,"xás pihnêefich u'árihroov.xás íshaha tóo xrah.xás vaa vúra u'áhootih.xás vúra puxích tóo xrah, xás "" chími íshaha kan'îishi.""xás ta'ítam upátumkuriheen.xás ámtaap kích úkpuupvar apmaan.xás yánava pa'íshaha sáruk tuvúunfak.xás u'áharam.xás ník tóo kfuukiraa.xás ivaxraháriik tóo skákish.xás pa'íshaha tuvúunfak.xás upíip "" vúra xâatik.miník ni'ísheesh kâam."""
"xás u'árihroov.xás uthítiv páthuuf uvúrunihva.xás ukvíripship.xás upíip "" pananívaas nipaathkúriheesh.""xás múvaas upaathkúrih.xás ámtaap kích ukpúpusip.",translate from karuk to english,"And he traveled upriver. And he heard a creek flowing down. And he broke into a run. And he said, ""I'll throw my blanket in the water."" And he threw his blanket in. But just dust puffed up."
"And he traveled upriver. And he heard a creek flowing down. And he broke into a run. And he said, ""I'll throw my blanket in the water."" And he threw his blanket in. But just dust puffed up.",translate from english to karuk,"xás u'árihroov.xás uthítiv páthuuf uvúrunihva.xás ukvíripship.xás upíip "" pananívaas nipaathkúriheesh.""xás múvaas upaathkúrih.xás ámtaap kích ukpúpusip."
"xás vúra chími u'íveesh, kóova tuvaxráhchak.xás upíip "" payêem nivôoruraavish pa'ípaha.xasík pananívaas nipaathkúriheesh.""xás kúkuum uthítiv páthuuf.xás uchunvákir vúra kacha'îimich.xás á' uvôoruraa ípahak.xás ta'ítam pamúvaas upaathkúriheen.xás kúkuum vúra ámtaap kích ukpúpusip pookyívish.",translate from karuk to english,"And he was about to die, he was so thirsty. And he said, ""Now I'll climb a tree. Then I'll throw my blanket in the water."" So he heard a creek again. And he sneaked up slowly. And he climbed up a tree. And then he threw his blanket in. And again just dust puffed up when it fell."
"And he was about to die, he was so thirsty. And he said, ""Now I'll climb a tree. Then I'll throw my blanket in the water."" So he heard a creek again. And he sneaked up slowly. And he climbed up a tree. And then he threw his blanket in. And again just dust puffed up when it fell.",translate from english to karuk,"xás vúra chími u'íveesh, kóova tuvaxráhchak.xás upíip "" payêem nivôoruraavish pa'ípaha.xasík pananívaas nipaathkúriheesh.""xás kúkuum uthítiv páthuuf.xás uchunvákir vúra kacha'îimich.xás á' uvôoruraa ípahak.xás ta'ítam pamúvaas upaathkúriheen.xás kúkuum vúra ámtaap kích ukpúpusip pookyívish."
